Id|ExportNaarOrafin|Naam|VerantwoordelijkeAutoriteitCode|status uit ipdc
DVR000000126|True|Subsidies ziekenhuizen - A1/A3|OVO000066|actief
DVR000000127|True|Ziekenhuizen - instandhoudingsforfait (incl. toestelfinanciering)|OVO000066|actief
DVR000000128|True|Subsidies klimaatmaatregelen|OVO000066|actief
DVR000000129|True|Subsidies duurzame investeringen|OVO000066|actief
DVR000000130|True|Subsidies klassieke sectoren|OVO000066|actief
DVR000000133|True|Subsidie aan pleegzorg|OVO000065|actief
DVR000000134|True|Subsidie aan Ondersteuningsteam Allochtonen|OVO000065|actief
DVR000000135|True|Subsidie aan psychiatrische klinieken voor de opvang van minderjarigen|OVO000065|actief
DVR000000136|True|Subsidie aan (school)internaten voor de opvang van minderjarigen|OVO000065|actief
DVR000000137|True|Subsidie Intersectoraal Prioritair toe te wijzen Hulpvragen|OVO000065|actief
DVR000000138|True|Subsidie aan zorgnetwerken|OVO000065|actief
DVR000000139|True|Subsidies Sociale acties - plaatsingsvermijdend|OVO000065|actief
DVR000000140|True|Projectsubsidies Jongerenwelzijn in kader vluchtelingen|OVO000065|actief
DVR000000141|True|Projectsubsidies Jongerenwelzijn|OVO000065|actief
DVR000000142|True|Subsidies wetenschappelijk onderzoek voor erkende voorzieningen, pleegzorg en gelijkgestelde voorzieningen|OVO000065|actief
DVR000000145|True|Vlaamse verbeterings- en aanpassingspremie (VAP)|OVO000106|actief
DVR000000146|True|Huursubsidie|OVO000106|actief
DVR000000147|True|Huurpremie|OVO000106|actief
DVR000000148|True|Subsidies / ondersteuning voor personeels- en werkingskosten aan sociale verhuurkantoren|OVO000106|actief
DVR000000149|True|Subsidies aan huurdersorganisaties|OVO000106|actief
DVR000000150|True|Subsidies voor taalcursussen in het kader van het sociaal huurstelsel|OVO000106|actief
DVR000000151|True|Ondersteuning van aanvullende tewerkstelling in de sector wonen|OVO000106|actief
DVR000000152|True|Subsidie VHP (Vlaams Huurdersplatform VZW)|OVO000106|actief
DVR000000153|True|Toelage agentschap voor grond- en woonbeleid in Vlaams Brabant|OVO000106|actief
DVR000000154|True|GESCO'S VOOR SHM'S, SVK's en Huurdersbonden|OVO000106|actief
DVR000000155|True|Huurvermindering|OVO000106|actief
DVR000000156|True|Huurcompensatie|OVO000106|actief
DVR000000157|True|Alternatieve financiering|OVO000106|actief
DVR000000158|True|Verhuurdersorganisaties|OVO000106|actief
DVR000000159|True|Ondersteuning lokaal woonbeleid|OVO000106|actief
DVR000000160|True|Subsidie voor investeringen in residentiële woonwagenterreinen en doortrekkersterreinen voor woonwagenbewoners|OVO000106|actief
DVR000000161|True|Subsidie aan het Steunpunt Wonen|OVO000106|actief
DVR000000162|True|Ondersteuning van initiatieven die bijdragen tot het huisvestingsbeleid (Fonds voor de Huisvesting)|OVO000106|actief
DVR000000163|True|Compensatie minder-inkomsten voor de bijstelling van de onroerende voorheffing|OVO000106|actief
DVR000000164|True|Verzekering gewaarborgd wonen|OVO000106|actief
DVR000000165|True|Tussenkomst in de huurlasten (Fonds voor de uithuiszettingen)|OVO000767|actief
DVR000000166|True|Tussenkomst fonds voor de financiering van het urgentieprogramma voor de sociale huisvesting (Domus Flandria)|OVO000213|actief
DVR000000167|True|Subsidie aan de LRM (de mijnwerkersleningen)|OVO000106|actief
DVR000000168|True|Subsidie Vlaams Woningfonds|OVO000106|actief
DVR000000169|True|Subsidie VMSW|OVO000106|actief
DVR000000170|True|Subsidie Garantiefonds|OVO000106|actief
DVR000000171|True|Dotatie aan DAB Urgentiefonds|OVO000106|actief
DVR000000172|True|Dotatie aan Fonds voor de Uithuiszettingen|OVO000106|actief
DVR000000175|True|Internationaal maatwerkproject|OVO000035|actief
DVR000000176|True|Ontwikkeling en vertaling van digitale internationale commerciële bedrijfscommunicatie|OVO000035|actief
DVR000000177|True|Oprichting van een prospectiekantoor buiten de EU, Ijsland, Lichtenstein en Noorwegen|OVO000035|actief
DVR000000178|True|Prospectiereis buiten de EU, Ijsland, Lichtenstein en Noorwegen|OVO000035|actief
DVR000000179|True|Subsidies voor uitrustingsgoederen|OVO000035|actief
DVR000000182|True|Subsidies Toerisme voor Allen-Verblijven|OVO000034|actief
DVR000000183|True|Logiessubsidie: steun voor erkende toeristische logies|OVO000034|actief
DVR000000184|True|Impulsprogramma's toeristische hefboomprojecten|OVO000034|actief
DVR000000185|True|Impulsprogramma Iedereen verdient vakantie|OVO000034|actief
DVR000000186|True|Management Ondersteuningspunten|OVO000034|actief
DVR000000187|True|Strategisch Actieplan Limbrug in het Kwadraat (SALK)|OVO000034|actief
DVR000000188|True|Tewerkstellingsprojecten|OVO000034|actief
DVR000000189|True|Ad nominatim subsidies|OVO000034|actief
DVR000000192|True|Subsidies in het kader van de circulaire economie|OVO000151|actief
DVR000000193|True|Subsidies aan erkende kringloopcentra|OVO000151|actief
DVR000000194|True|Subsidie verwerking krengen|OVO000151|actief
DVR000000195|True|Subsidies voor preventie en beheer van het huishoudelijk verpakkingsafval (Werkplan halve euro)|OVO000091|actief
DVR000000196|True|Subsidies ikv zwerfvuilbeleid|OVO000091|actief
DVR000000197|True|Subsidies bodemsanering|OVO000151|actief
DVR000000198|True|Bedrijfsspecifieke overeenkomsten met bedrijven|OVO000091|actief
DVR000000199|True|Subsidie voor sanering van een ernstige historische verontreiniging|OVO000091|actief
DVR000000202|True|Subsidie ikv biologische productiemethode (hectaresteun)|OVO000082|actief
DVR000000203|True|Subsidie voor boslandbouwsystemen (agroforestry)|OVO000082|actief
DVR000000204|True|Subsidie voor landbouwvormingsactiviteiten|OVO000082|actief
DVR000000205|True|Subsidie voor demonstratieprojecten|OVO000082|actief
DVR000000206|True|Subsidie voor EIP-Operationele Groepen|OVO000082|actief
DVR000000207|True|Subsidie ikv Kratos/bedrijfsadvies|OVO000082|actief
DVR000000208|True|Subsidie voor oprichting producentenorganisaties|OVO000082|actief
DVR000000209|True|Subsidie ikv bijenteeltprogramma|OVO000082|actief
DVR000000210|True|Subsidie ikv Europese schoolfruit, -groenten en -melkregeling|OVO000082|actief
DVR000000211|True|Subsidie voor zorgboerderijen|OVO000082|actief
DVR000000212|True|Subsidie voor fokkerij|OVO000082|actief
DVR000000213|True|Subsidie voor bedrijfsadvisering biologische landbouw|OVO000082|actief
DVR000000214|True|Subsidie voor controlekosten biologische landbouw|OVO000082|actief
DVR000000215|True|Subsidie voor landbouwcomicen|OVO000082|actief
DVR000000216|True|Subsidie voor praktijkcentra land- en tuinbouw|OVO000082|actief
DVR000000217|True|Werkingssubsidie voor VLAM (Vlaams Centrum voor Agro- en Visserijmarketing)|OVO000082|actief
DVR000000218|True|Werkingssubsidie voor Boeren op een Kruispunt vzw|OVO000082|actief
